source,task,ctx,trial_or_sample,policy,budget,sal_ms,gen_ms,tokens_per_sec,vram_sal_mb,vram_gen_mb
ruler,niah_single,4096,8,H2O,512,2335.6,664.6,10.53,7085.0,6078.7
ruler,niah_single,4096,8,KiaOmni_σ8,98,2335.6,5898.9,16.27,7085.0,6011.5
ruler,niah_single,4096,8,KiaOmni_σ8,128,2335.6,5933.5,16.18,7085.0,6016.4
ruler,niah_single,4096,8,KiaOmni_σ8,256,2335.6,5983.4,16.04,7085.0,6037.1
ruler,niah_single,4096,8,KiaOmni_σ8,512,2335.6,5988.6,16.03,7085.0,6078.7
ruler,niah_single,4096,8,KiaOmni_Gaussian,98,2335.6,5917.0,16.22,7085.0,6011.5
ruler,niah_single,4096,8,KiaOmni_Gaussian,128,2335.6,5928.8,16.19,7085.0,6016.4
ruler,niah_single,4096,8,KiaOmni_Gaussian,256,2335.6,5928.3,16.19,7085.0,6037.1
ruler,niah_single,4096,8,KiaOmni_Gaussian,512,2335.6,661.4,10.58,7085.0,6078.7
ruler,niah_single,4096,9,FullContext,98,2296.8,7097.0,13.53,7086.9,6649.0
ruler,niah_single,4096,9,FullContext,128,2296.8,7097.0,13.53,7086.9,6649.0
ruler,niah_single,4096,9,FullContext,256,2296.8,7097.0,13.53,7086.9,6649.0
ruler,niah_single,4096,9,FullContext,512,2296.8,7097.0,13.53,7086.9,6649.0
ruler,niah_single,4096,9,BlockSal,98,2296.8,5895.1,16.28,7086.9,6011.2
ruler,niah_single,4096,9,BlockSal,128,2296.8,5924.3,16.2,7086.9,6016.4
ruler,niah_single,4096,9,BlockSal,256,2296.8,5925.9,16.2,7086.9,6037.1
ruler,niah_single,4096,9,BlockSal,512,2296.8,6028.2,15.93,7086.9,6078.7
ruler,niah_single,4096,9,SnapKV,98,2296.8,771.7,12.96,7086.9,6003.5
ruler,niah_single,4096,9,SnapKV,128,2296.8,575.5,12.16,7086.9,6004.8
ruler,niah_single,4096,9,SnapKV,256,2296.8,1425.5,14.73,7086.9,6010.2
ruler,niah_single,4096,9,SnapKV,512,2296.8,5937.7,16.0,7086.9,6022.9
ruler,niah_single,4096,9,AdaSnapKV,98,2296.8,5903.4,16.26,7086.9,6017.3
ruler,niah_single,4096,9,AdaSnapKV,128,2296.8,3807.6,15.76,7086.9,6024.1
ruler,niah_single,4096,9,AdaSnapKV,256,2296.8,5936.0,16.17,7086.9,6052.7
ruler,niah_single,4096,9,AdaSnapKV,512,2296.8,6066.3,15.83,7086.9,6110.0
ruler,niah_single,4096,9,H2O,98,2296.8,1246.1,14.45,7086.9,6011.5
ruler,niah_single,4096,9,H2O,128,2296.8,5921.8,16.21,7086.9,6016.4
ruler,niah_single,4096,9,H2O,256,2296.8,5958.6,16.11,7086.9,6037.1
ruler,niah_single,4096,9,H2O,512,2296.8,6002.7,15.99,7086.9,6078.7
ruler,niah_single,4096,9,KiaOmni_σ8,98,2296.8,5908.2,16.25,7086.9,6011.5
ruler,niah_single,4096,9,KiaOmni_σ8,128,2296.8,1981.4,15.14,7086.9,6016.4
ruler,niah_single,4096,9,KiaOmni_σ8,256,2296.8,5936.8,16.17,7086.9,6037.1
ruler,niah_single,4096,9,KiaOmni_σ8,512,2296.8,5566.6,15.81,7086.9,6078.7
ruler,niah_single,4096,9,KiaOmni_Gaussian,98,2296.8,5977.9,16.06,7086.9,6011.5
ruler,niah_single,4096,9,KiaOmni_Gaussian,128,2296.8,5929.6,16.19,7086.9,6016.4
ruler,niah_single,4096,9,KiaOmni_Gaussian,256,2296.8,5949.0,16.14,7086.9,6037.1
ruler,niah_single,4096,9,KiaOmni_Gaussian,512,2296.8,5976.8,16.06,7086.9,6078.7
ruler,niah_single,4096,10,FullContext,98,2359.8,2403.3,7.49,7085.7,6648.2
ruler,niah_single,4096,10,FullContext,128,2359.8,2403.3,7.49,7085.7,6648.2
ruler,niah_single,4096,10,FullContext,256,2359.8,2403.3,7.49,7085.7,6648.2
ruler,niah_single,4096,10,FullContext,512,2359.8,2403.3,7.49,7085.7,6648.2
ruler,niah_single,4096,10,BlockSal,98,2359.8,1563.4,14.71,7085.7,6011.2
ruler,niah_single,4096,10,BlockSal,128,2359.8,1539.6,14.94,7085.7,6016.4
ruler,niah_single,4096,10,BlockSal,256,2359.8,5938.0,16.17,7085.7,6037.1
ruler,niah_single,4096,10,BlockSal,512,2359.8,1348.4,13.35,7085.7,6078.7
